numid,vlanid,name,ipnet,mask,gateway,ip,cidr,size,ipnum
13,5300,IMPRESSION,172.18.66.192/26,255.255.255.192,172.18.66.254,172.18.66.192,26,64,2886877888
13,1500,PROD,172.18.67.0/25,255.255.255.128,172.18.67.126,172.18.67.0,25,128,2886877952
13,900,TEST,172.18.67.128/25,255.255.255.128,172.18.67.254,172.18.67.128,25,128,2886878080
14,142,INFRA,10.50.68.0/24,255.255.255.0,10.50.68.1,10.50.68.0,24,256,171066368
14,5000,DMZ,172.18.68.0/23,255.255.254.0,172.18.69.254,172.18.68.0,23,512,2886878208
14,4000,DMZ_PUB,172.18.70.0/25,255.255.255.128,172.18.70.126,172.18.70.0,25,128,2886878720
14,2200,TOIP,172.18.70.128/26,255.255.255.192,172.18.70.190,172.18.70.128,26,64,2886878848
14,5300,IMPRESSION,172.18.70.192/26,255.255.255.192,172.18.70.254,172.18.70.192,26,64,2886878912
14,1500,PROD,172.18.71.0/25,255.255.255.128,172.18.71.126,172.18.71.0,25,128,2886878976
14,900,TEST,172.18.71.128/25,255.255.255.128,172.18.71.254,172.18.71.128,25,128,2886879104
15,152,INFRA,10.50.55.0/24,255.255.255.0,10.50.55.1,10.50.55.0,24,256,171063040
15,5000,DMZ,172.18.72.0/23,255.255.254.0,172.18.73.254,172.18.72.0,23,512,2886879232
15,4000,DMZ_PUB,172.18.74.0/25,255.255.255.128,172.18.74.126,172.18.74.0,25,128,2886879744
15,2200,TOIP,172.18.74.128/26,255.255.255.192,172.18.74.190,172.18.74.128,26,64,2886879872
15,5300,IMPRESSION,172.18.74.192/26,255.255.255.192,172.18.74.254,172.18.74.192,26,64,2886879936
15,1500,PROD,172.18.75.0/25,255.255.255.128,172.18.75.126,172.18.75.0,25,128,2886880000
15,900,TEST,172.18.75.128/25,255.255.255.128,172.18.75.254,172.18.75.128,25,128,2886880128
16,162,INFRA,10.50.60.0/24,255.255.255.0,10.50.60.1,10.50.60.0,24,256,171064320
16,5000,DMZ,172.18.76.0/23,255.255.254.0,172.18.77.254,172.18.76.0,23,512,2886880256
16,4000,DMZ_PUB,172.18.78.0/25,255.255.255.128,172.18.78.126,172.18.78.0,25,128,2886880768
16,2200,TOIP,172.18.78.128/26,255.255.255.192,172.18.78.190,172.18.78.128,26,64,2886880896
16,5300,IMPRESSION,172.18.78.192/26,255.255.255.192,172.18.78.254,172.18.78.192,26,64,2886880960
16,1500,PROD,172.18.79.0/25,255.255.255.128,172.18.79.126,172.18.79.0,25,128,2886881024
16,900,TEST,172.18.79.128/25,255.255.255.128,172.18.79.254,172.18.79.128,25,128,2886881152
17,172,INFRA,10.50.33.0/24,255.255.255.0,10.50.33.1,10.50.33.0,24,256,171057408
17,5000,DMZ,172.18.80.0/23,255.255.254.0,172.18.81.254,172.18.80.0,23,512,2886881280
17,4000,DMZ_PUB,172.18.82.0/25,255.255.255.128,172.18.82.126,172.18.82.0,25,128,2886881792
17,2200,TOIP,172.18.82.128/26,255.255.255.192,172.18.82.190,172.18.82.128,26,64,2886881920
17,5300,IMPRESSION,172.18.82.192/26,255.255.255.192,172.18.82.254,172.18.82.192,26,64,2886881984
